RTT,MeanLatencyUpstream,MeanLatencyDownstream,STDLatencyUpstream,STDLatencyDownstream,NPackets
10.282288117647063,0.11720249019607845,10.165085627450985,0.060821544275477146,0.04366070956146075,51
10.233488099999999,0.10143006,10.132058039999999,0.021117525845051072,0.03417134760524383,50
10.213366919999999,0.09477444000000002,10.118592479999998,0.01991111980995544,0.02852507592364303,50
10.218448299999999,0.0971549,10.121293399999999,0.02073855444745366,0.028696668099275954,50
12.247872836734695,0.09075265306122449,12.15712018367347,0.017012740437864913,4.132611641152047,49
43.81109685416666,0.09214679166666666,43.71895006249999,0.02168777936607612,16.19862318108233,48
78.3389201923077,0.10272926923076925,78.23619092307693,0.02194806491480372,28.5017914979986,52
86.49478767391304,0.11719506521739126,86.37759260869565,0.009827281083582922,32.22137618413805,46
86.05516040384614,0.11256651923076924,85.94259388461538,0.014817533837277408,31.22015575751622,52
92.98328317021279,0.10516695744680853,92.87811621276597,0.01842038739971654,34.16188286359522,47
88.96513513461542,0.10179471153846152,88.86334042307696,0.01874328980989088,39.157187475098304,52
78.56492353061225,0.11361038775510206,78.45131314285715,0.015191273145738031,23.12562071654997,49
78.90098210000001,0.11819637999999996,78.78278572,0.008545927874467464,27.686089454011928,50
80.2651020566038,0.1068673396226415,80.15823471698116,0.018312636979144745,30.250557581135798,53
83.55133065957449,0.10073470212765959,83.45059595744684,0.02112772685552056,30.83343174201461,47
83.52246321999998,0.10931033999999999,83.41315287999998,0.01973117437722347,30.683221715776536,50
88.81033241999997,0.10674832000000002,88.70358409999997,0.01894497970169406,28.42819402150952,50
81.53436702000002,0.10014358,81.43422344000003,0.01605263899561689,32.50008046045572,50
82.80472081132076,0.09472288679245285,82.70999792452831,0.01593205348862922,32.14800345125659,53
89.23342912765959,0.09539004255319149,89.1380390851064,0.018072559427306036,29.4654182034706,47
86.37691637254903,0.09725125490196078,86.27966511764707,0.01639284723124051,33.10035228474944,51
90.47595014583334,0.11284320833333332,90.3631069375,0.01928003775493184,32.90808951671812,48
85.24408838,0.11090670000000001,85.13318167999999,0.014738589483732831,35.94282879506519,50
93.55581310909093,0.10988372727272723,93.4459293818182,0.016537659663440944,33.56445036021775,55
94.55417028888887,0.10619097777777778,94.4479793111111,0.014820537372906839,35.19741412891092,45
90.87649975471699,0.11297392452830189,90.76352583018868,0.014188157019745221,38.64978048037407,53
77.95382877083333,0.11515895833333334,77.83866981249999,0.01338925300374386,25.633041723493104,48
83.3079239,0.11296501999999997,83.19495888,0.011368990960485456,29.35920904603952,50
87.16906163636362,0.11757794545454545,87.05148369090908,0.011654134896980762,33.172138814929475,55
89.87104361363636,0.10119781818181818,89.76984579545454,0.018913440155413207,35.720770031034284,44
90.60521124528304,0.1120638679245283,90.49314737735851,0.01794658251804214,36.806103188732436,53
99.49721346808508,0.09305717021276598,99.40415629787232,0.02745999734028528,34.48098136187963,47
53.43944146428571,0.11644100000000002,53.323000464285705,0.013881307432504847,38.783279831620234,56
10.237271799999998,0.10184614000000002,10.13542566,0.021424929413195275,0.03742035952505527,50
10.183815959999999,0.0833577,10.100458259999998,0.007160983575599093,0.011964529431298093,50
10.225360160000001,0.09823478000000002,10.12712538,0.021544814645097325,0.03676121145875912,50
10.196073319999998,0.08767822,10.108395099999997,0.015350518047662106,0.023303806693542595,50
10.290706320000002,0.12328143999999998,10.167424880000002,0.010157631271433314,0.018628732653232137,50
10.290461679999996,0.12086732,10.169594359999996,0.01291933669263248,0.016638470382532244,50
10.225297897959184,0.09835379591836735,10.126944102040817,0.021264301712148683,0.032167470304099256,49
