Timestamp,Seq,ClientSend,ServerRcv,ClientRcv,RTTms
2020-10-29 05:14:54.007116146,0,1603948493996125983,1603948493996601379,1603948494007116146,10
2020-10-29 05:14:54.026395131,1,1603948494016112529,1603948494016231747,1603948494026395131,10
2020-10-29 05:14:54.046393524,2,1603948494036124446,1603948494036247266,1603948494046393524,10
2020-10-29 05:14:54.066384122,3,1603948494056116857,1603948494056213377,1603948494066384122,10
2020-10-29 05:14:54.086396886,4,1603948494076128394,1603948494076261678,1603948494086396886,10
2020-10-29 05:14:54.106488887,5,1603948494096190152,1603948494096317373,1603948494106488887,10
2020-10-29 05:14:54.126481582,6,1603948494116188669,1603948494116314690,1603948494126481582,10
2020-10-29 05:14:54.146520849,7,1603948494136196853,1603948494136322694,1603948494146520849,10
2020-10-29 05:14:54.166455913,8,1603948494156165494,1603948494156291641,1603948494166455913,10
2020-10-29 05:14:54.186485496,9,1603948494176189775,1603948494176314362,1603948494186485496,10
2020-10-29 05:14:54.206458234,10,1603948494196167479,1603948494196288403,1603948494206458234,10
2020-10-29 05:14:54.226482472,11,1603948494216188740,1603948494216314877,1603948494226482472,10
2020-10-29 05:14:54.246482323,12,1603948494236193083,1603948494236318624,1603948494246482323,10
2020-10-29 05:14:54.266477936,13,1603948494256184954,1603948494256310648,1603948494266477936,10
2020-10-29 05:14:54.286496994,14,1603948494276205408,1603948494276331142,1603948494286496994,10
2020-10-29 05:14:54.306457827,15,1603948494296169369,1603948494296293863,1603948494306457827,10
2020-10-29 05:14:54.326395958,16,1603948494316113809,1603948494316239253,1603948494326395958,10
2020-10-29 05:14:54.346443085,17,1603948494336156950,1603948494336282718,1603948494346443085,10
2020-10-29 05:14:54.366441476,18,1603948494356158214,1603948494356282339,1603948494366441476,10
2020-10-29 05:14:54.386439907,19,1603948494376156795,1603948494376281969,1603948494386439907,10
2020-10-29 05:14:54.406439861,20,1603948494396155892,1603948494396279643,1603948494406439861,10
2020-10-29 05:14:54.426442968,21,1603948494416157370,1603948494416283121,1603948494426442968,10
2020-10-29 05:14:54.446442759,22,1603948494436158181,1603948494436283438,1603948494446442759,10
2020-10-29 05:14:54.466415906,23,1603948494456133374,1603948494456257915,1603948494466415906,10
2020-10-29 05:14:54.486442644,24,1603948494476155825,1603948494476283496,1603948494486442644,10
2020-10-29 05:14:54.506442521,25,1603948494496157523,1603948494496282827,1603948494506442521,10
2020-10-29 05:14:54.526451299,26,1603948494516158517,1603948494516291068,1603948494526451299,10
2020-10-29 05:14:54.546440417,27,1603948494536155864,1603948494536281674,1603948494546440417,10
2020-10-29 05:14:54.566439993,28,1603948494556155711,1603948494556280159,1603948494566439993,10
2020-10-29 05:14:54.586443287,29,1603948494576158202,1603948494576284483,1603948494586443287,10
2020-10-29 05:14:54.606440958,30,1603948494596156000,1603948494596280554,1603948494606440958,10
2020-10-29 05:14:54.626447906,31,1603948494616161850,1603948494616287757,1603948494626447906,10
2020-10-29 05:14:54.646442769,32,1603948494636157661,1603948494636282682,1603948494646442769,10
2020-10-29 05:14:54.666440794,33,1603948494656156739,1603948494656282163,1603948494666440794,10
2020-10-29 05:14:54.686451768,34,1603948494676156483,1603948494676291337,1603948494686451768,10
2020-10-29 05:14:54.706441352,35,1603948494696157493,1603948494696282127,1603948494706441352,10
2020-10-29 05:14:54.726441332,36,1603948494716156080,1603948494716281268,1603948494726441332,10
2020-10-29 05:14:54.74644238,37,1603948494736158261,1603948494736282396,1603948494746442380,10
2020-10-29 05:14:54.766439377,38,1603948494756157049,1603948494756280696,1603948494766439377,10
2020-10-29 05:14:54.786444485,39,1603948494776158519,1603948494776283783,1603948494786444485,10
2020-10-29 05:14:54.806443696,40,1603948494796156410,1603948494796280267,1603948494806443696,10
2020-10-29 05:14:54.826358362,41,1603948494816156187,1603948494816248121,1603948494826358362,10
