Timestamp,Seq,ClientSend,ServerRcv,ClientRcv,RTTms
2020-10-29 05:17:59.44288703,70,1603948679432598588,1603948679432724622,1603948679442887030,10
2020-10-29 05:17:59.46288209,71,1603948679452592787,1603948679452719402,1603948679462882090,10
2020-10-29 05:17:59.482854513,72,1603948679472597291,1603948679472690648,1603948679482854513,10
2020-10-29 05:17:59.502907227,73,1603948679492642781,1603948679492748279,1603948679502907227,10
2020-10-29 05:17:59.522884907,74,1603948679512596648,1603948679512722976,1603948679522884907,10
2020-10-29 05:17:59.542878341,75,1603948679532595525,1603948679532720519,1603948679542878341,10
2020-10-29 05:17:59.562884502,76,1603948679552595413,1603948679552722117,1603948679562884502,10
2020-10-29 05:17:59.582880718,77,1603948679572594543,1603948679572720207,1603948679582880718,10
2020-10-29 05:17:59.602883548,78,1603948679592595423,1603948679592722447,1603948679602883548,10
2020-10-29 05:17:59.622881988,79,1603948679612594766,1603948679612720657,1603948679622881988,10
2020-10-29 05:17:59.642883529,80,1603948679632595110,1603948679632721284,1603948679642883529,10
2020-10-29 05:17:59.662881555,81,1603948679652595520,1603948679652721368,1603948679662881555,10
2020-10-29 05:17:59.682894439,82,1603948679672595860,1603948679672732658,1603948679682894439,10
2020-10-29 05:17:59.702882422,83,1603948679692595367,1603948679692721518,1603948679702882422,10
2020-10-29 05:17:59.722895336,84,1603948679712606484,1603948679712733225,1603948679722895336,10
2020-10-29 05:17:59.742812129,85,1603948679732592801,1603948679732681048,1603948679742812129,10
2020-10-29 05:17:59.762826343,86,1603948679752641899,1603948679752725063,1603948679762826343,10
2020-10-29 05:17:59.78282163,87,1603948679772642452,1603948679772723369,1603948679782821630,10
2020-10-29 05:17:59.802823874,88,1603948679792643422,1603948679792725752,1603948679802823874,10
2020-10-29 05:17:59.822821794,89,1603948679812643033,1603948679812723967,1603948679822821794,10
2020-10-29 05:17:59.842821781,90,1603948679832642859,1603948679832724257,1603948679842821781,10
2020-10-29 05:17:59.862820804,91,1603948679852643459,1603948679852723210,1603948679862820804,10
2020-10-29 05:17:59.882826375,92,1603948679872643610,1603948679872724398,1603948679882826375,10
2020-10-29 05:17:59.902825055,93,1603948679892641767,1603948679892724587,1603948679902825055,10
2020-10-29 05:17:59.922818125,94,1603948679912642560,1603948679912722157,1603948679922818125,10
2020-10-29 05:17:59.942822995,95,1603948679932644001,1603948679932725291,1603948679942822995,10
2020-10-29 05:17:59.962824739,96,1603948679952643484,1603948679952725238,1603948679962824739,10
2020-10-29 05:17:59.982777092,97,1603948679972598834,1603948679972680105,1603948679982777092,10
2020-10-29 05:18:00.002823067,98,1603948679992643428,1603948679992725012,1603948680002823067,10
2020-10-29 05:18:00.022821613,99,1603948680012643269,1603948680012723963,1603948680022821613,10
2020-10-29 05:18:00.042821767,100,1603948680032642809,1603948680032724256,1603948680042821767,10
2020-10-29 05:18:00.062826911,101,1603948680052647905,1603948680052729336,1603948680062826911,10
2020-10-29 05:18:00.082828364,102,1603948680072642990,1603948680072725260,1603948680082828364,10
2020-10-29 05:18:00.10277111,103,1603948680092592599,1603948680092672560,1603948680102771110,10
2020-10-29 05:18:00.122820235,104,1603948680112641856,1603948680112722033,1603948680122820235,10
2020-10-29 05:18:00.142816919,105,1603948680132637217,1603948680132718715,1603948680142816919,10
2020-10-29 05:18:00.162820518,106,1603948680152642120,1603948680152722368,1603948680162820518,10
2020-10-29 05:18:00.182869783,107,1603948680172639688,1603948680172720018,1603948680182869783,10
2020-10-29 05:18:00.20293261,108,1603948680192641958,1603948680192774422,1603948680202932610,10
2020-10-29 05:18:00.222922051,109,1603948680212637049,1603948680212763716,1603948680222922051,10
2020-10-29 05:18:00.242930314,110,1603948680232644915,1603948680232772096,1603948680242930314,10
2020-10-29 05:18:00.262925241,111,1603948680252640153,1603948680252766677,1603948680262925241,10
2020-10-29 05:18:00.282922438,112,1603948680272636812,1603948680272763303,1603948680282922438,10
2020-10-29 05:18:00.302922839,113,1603948680292638880,1603948680292763791,1603948680302922839,10
2020-10-29 05:18:00.322936525,114,1603948680312638446,1603948680312775421,1603948680322936525,10
2020-10-29 05:18:00.342922989,115,1603948680332638181,1603948680332763635,1603948680342922989,10
2020-10-29 05:18:00.362925173,116,1603948680352639657,1603948680352765388,1603948680362925173,10
2020-10-29 05:18:00.38292474,117,1603948680372638302,1603948680372767366,1603948680382924740,10
