RTT,MeanLatencyUpstream,MeanLatencyDownstream,STDLatencyUpstream,STDLatencyDownstream,NPackets
10.255658627450979,0.11091452941176468,10.144744098039213,0.05407838937782925,0.06389770370977782,51
10.250945759999999,0.10844336000000002,10.142502399999998,0.02138822109924993,0.030870888789926346,50
10.270874999999998,0.11703198000000001,10.153843019999998,0.01866870615815676,0.025838796892649566,50
10.25218434,0.10438463999999996,10.1477997,0.02165347203084069,0.03845969901299293,50
19.093922624999998,0.11777170833333334,18.976150916666665,0.016288522821502175,9.814737045490338,48
63.624823895833345,0.1032435416666667,63.52158035416668,0.02313803021989117,13.87942521690833,48
110.83403420833332,0.10853231250000002,110.72550189583332,0.02424546722770761,12.91991898386312,48
100.38331672549019,0.09448388235294118,100.28883284313724,0.021086044617092185,5.327733547808933,51
113.96699212244901,0.12065251020408163,113.84633961224493,0.009819516634935419,3.7702120215874726,49
124.36345792000002,0.09343827999999998,124.27001964000002,0.02408845783693095,2.3571023872963495,50
96.94918601960785,0.09045747058823529,96.85872854901962,0.010772915661833523,9.764652568848643,51
111.88113993999997,0.08783784,111.79330209999996,0.007689263601568098,11.183579873526792,50
95.27098247999999,0.09062329999999999,95.18035917999998,0.008253113027821684,7.489684816537416,50
105.39340307843136,0.10638798039215687,105.2870150980392,0.01703475269995532,6.528778623307822,51
113.12751270833327,0.10743699999999999,113.02007570833327,0.021749314151063858,4.285565552457341,48
113.85572752,0.10283243999999994,113.75289508,0.015140854464870863,3.9775716038594293,50
113.59001119999996,0.09632670000000003,113.49368449999996,0.009991828918171087,5.388142586891132,50
115.01073445098041,0.11551950980392159,114.89521494117649,0.014555506334101222,6.042776812195183,51
117.38204191836735,0.11681273469387753,117.26522918367347,0.012845625466418138,9.32701319110296,49
118.31817738461542,0.10828101923076926,118.20989636538465,0.018475865285753807,13.194998593527918,52
96.83295051020407,0.09248140816326529,96.7404691020408,0.011928494552221683,8.101768580517241,49
110.07332979591838,0.09245226530612242,109.98087753061226,0.01599115067623405,9.023571186303004,49
119.96701553999999,0.09525513999999997,119.87176039999999,0.020943280011507272,9.736277689679357,50
110.16263764705884,0.08970184313725488,110.0729358039216,0.007018603546297508,13.045152287649476,51
104.47418382000001,0.10389252000000003,104.3702913,0.01757258071000387,7.318046282116305,50
109.08578995918366,0.11831351020408161,108.96747644897958,0.012947736918516702,6.7954560314537185,49
112.14387892,0.10725441999999999,112.0366245,0.023322907647281028,8.6030018279712,50
113.10373996000006,0.1020966,113.00164336000006,0.020919707121276818,10.460330444282432,50
113.78214794,0.1051732,113.67697474,0.01817268286962605,12.771113575120722,50
112.77151534615382,0.11442830769230769,112.65708703846151,0.013545912580409438,16.319825144169656,52
116.08145827083334,0.11040902083333332,115.97104925000001,0.01807395484240788,13.321970120681371,48
113.04109780392162,0.10628125490196076,112.93481654901966,0.01896251554819184,14.644887814522056,51
106.89846414285714,0.09516755102040815,106.80329659183673,0.013679303604516562,15.119333683477103,49
116.34441043999998,0.11300697999999995,116.23140345999998,0.01847037724518912,12.54225551761024,50
104.10709687999997,0.10188054000000003,104.00521633999998,0.018871957246888834,9.991080984284004,50
109.26969884000003,0.10046479999999999,109.16923404000003,0.014481879302079548,10.389155386570799,50
112.07560318367348,0.09239765306122447,111.98320553061225,0.02234484763562342,9.366127439129764,49
111.99310111999999,0.11361900000000003,111.87948211999999,0.020806165907249704,9.651532661186167,50
112.35404265999999,0.12249856,112.2315441,0.013957382819368392,11.192364700452247,50
86.94936096363637,0.1134513636363636,86.83590960000001,0.017735376580427797,36.3111480587548,55
45.35874162745099,0.09897490196078432,45.2597667254902,0.01791666960939865,15.909573683913196,51
48.382174446808506,0.10840804255319145,48.27376640425531,0.012866943134062982,17.236059292586585,47
49.54493104,0.11174625999999996,49.433184780000005,0.029994177278805295,19.319612078203022,50
51.367898659999994,0.108545,51.259353659999995,0.018307768042008832,20.630004006500677,50
52.24385926530612,0.10992108163265306,52.133938183673465,0.019084964109333833,21.683115544830486,49
71.40679600000001,0.08584466666666667,71.32095133333334,0.013575404851748945,0.16141540877361923,3
